date,code,predicted,actual
2017-01-02,130,0.00050922506,-0.0157493974690799
2017-01-02,688077,0.00050922506,0.0030524173872272
2017-01-02,688067,0.00050922506,-0.0230313566115124
2017-01-02,688068,0.00050922506,-0.009725841310736
2017-01-02,688069,0.00050922506,9.950518270529508e-05
2017-01-02,688070,0.00050922506,0.0009352242627436
2017-01-02,688071,0.00050922506,-0.0036851545722539
2017-01-02,688072,0.00050922506,-0.0007414760690194
2017-01-02,688073,0.00050922506,-0.0068526188299002
2017-01-02,688074,0.00050922506,-0.0130965333196749
2017-01-03,130,0.00050922506,-0.026503373616997
2017-01-03,688077,0.00050922506,0.0043194341229269
2017-01-03,688067,0.00050922506,-0.0198573361996458
2017-01-03,688068,0.00050922506,0.0082498872046423
2017-01-03,688069,0.00050922506,-0.0042049169753807
2017-01-03,688070,0.00050922506,-0.0319520766462052
2017-01-03,688071,0.00050922506,0.017428936170498
2017-01-03,688072,0.00050922506,-0.0177470428032564
2017-01-03,688073,0.00050922506,-0.0184077186675967
2017-01-03,688074,0.00050922506,0.0135856061570662
2017-01-04,130,0.00050922506,0.0185175220227118
2017-01-04,688077,0.00050922506,-0.0049994177222687
2017-01-04,688067,0.00050922506,-0.001749523862173
2017-01-04,688068,0.00050922506,0.0099579600348729
2017-01-04,688069,0.00050922506,-0.0108643541235733
2017-01-04,688070,0.00050922506,-0.0181527802802961
2017-01-04,688071,0.00050922506,-0.0057159524481624
2017-01-04,688072,0.00050922506,0.0002187397233595
2017-01-04,688073,0.00050922506,0.0092980129786059
2017-01-04,688074,0.00050922506,-0.0110301182788358
2017-01-05,130,0.00050922506,-0.0074736159080949
2017-01-05,688077,0.00050922506,-0.0044628380865623
2017-01-05,688067,0.00050922506,0.0063450773031199
2017-01-05,688068,0.00050922506,-0.0018594024894923
2017-01-05,688069,0.00050922506,0.0074987081857011
2017-01-05,688070,0.00050922506,0.002581214688256
2017-01-05,688071,0.00050922506,0.0030566024941875
2017-01-05,688072,0.00050922506,0.0016236614350721
2017-01-05,688073,0.00050922506,-0.0056841585861703
