ts_code,date,open,high,low,close,pre_close,change,pct_chg,volume,amount
601939.SH,2020-01-02,7.29,7.39,7.28,7.31,7.23,0.08,1.1065,1193038.16,874838.199
601939.SH,2020-01-03,7.31,7.35,7.29,7.31,7.31,0.0,0.0,705830.61,516045.235
601939.SH,2020-01-06,7.29,7.32,7.22,7.24,7.31,-0.07,-0.9576,828712.77,603218.997
601939.SH,2020-01-07,7.26,7.29,7.22,7.23,7.24,-0.01,-0.1381,1106435.65,800936.075
601939.SH,2020-01-08,7.21,7.21,7.14,7.14,7.23,-0.09,-1.2448,971101.19,696441.886
601939.SH,2020-01-09,7.19,7.2,7.13,7.16,7.14,0.02,0.2801,848503.01,607455.302
601939.SH,2020-01-10,7.17,7.18,7.14,7.16,7.16,0.0,0.0,530992.16,379598.664
601939.SH,2020-01-13,7.16,7.17,7.12,7.17,7.16,0.01,0.1397,735764.36,525773.774
601939.SH,2020-01-14,7.18,7.2,7.16,7.16,7.17,-0.01,-0.1395,546323.26,392032.898
601939.SH,2020-01-15,7.17,7.17,7.13,7.14,7.16,-0.02,-0.2793,439992.14,314244.319
601939.SH,2020-01-16,7.15,7.15,7.08,7.09,7.14,-0.05,-0.7003,941075.91,668514.263
601939.SH,2020-01-17,7.09,7.13,7.07,7.08,7.09,-0.01,-0.141,553205.19,392561.725
601939.SH,2020-01-20,7.09,7.11,7.07,7.1,7.08,0.02,0.2825,739731.11,524550.417
601939.SH,2020-01-21,7.09,7.09,7.03,7.04,7.1,-0.06,-0.8451,894648.95,630441.873
601939.SH,2020-01-22,7.02,7.06,6.99,7.05,7.04,0.01,0.142,870632.79,611037.706
601939.SH,2020-01-23,7.02,7.03,6.92,6.97,7.05,-0.08,-1.1348,1255989.9,874549.382
601939.SH,2020-02-03,6.42,6.66,6.33,6.44,6.97,-0.53,-7.604,1936614.64,1255253.732
601939.SH,2020-02-04,6.43,6.74,6.41,6.68,6.44,0.24,3.7267,1654194.71,1088628.225
601939.SH,2020-02-05,6.68,6.77,6.61,6.71,6.68,0.03,0.4491,1036252.38,695437.342
601939.SH,2020-02-06,6.74,6.74,6.63,6.69,6.71,-0.02,-0.2981,1439352.09,960638.75
601939.SH,2020-02-07,6.65,6.65,6.57,6.63,6.69,-0.06,-0.8969,1082384.28,714670.329
601939.SH,2020-02-10,6.6,6.63,6.56,6.62,6.63,-0.01,-0.1508,698717.29,461239.306
601939.SH,2020-02-11,6.63,6.69,6.6,6.69,6.62,0.07,1.0574,948842.07,632527.248
601939.SH,2020-02-12,6.68,6.69,6.64,6.69,6.69,0.0,0.0,631233.8,420957.355
601939.SH,2020-02-13,6.69,6.69,6.6,6.62,6.69,-0.07,-1.0463,919536.37,610198.15
601939.SH,2020-02-14,6.6,6.67,6.58,6.65,6.62,0.03,0.4532,688549.35,456977.713
601939.SH,2020-02-17,6.64,6.74,6.62,6.74,6.65,0.09,1.3534,909928.21,608933.843
601939.SH,2020-02-18,6.73,6.74,6.68,6.7,6.74,-0.04,-0.5935,844002.48,566197.724
601939.SH,2020-02-19,6.69,6.74,6.68,6.71,6.7,0.01,0.1493,909091.86,609473.673
601939.SH,2020-02-20,6.71,6.77,6.64,6.76,6.71,0.05,0.7452,1227634.01,822081.008
601939.SH,2020-02-21,6.73,6.82,6.7,6.77,6.76,0.01,0.1479,925764.05,625241.501
601939.SH,2020-02-24,6.77,6.77,6.7,6.71,6.77,-0.06,-0.8863,880497.84,591534.393
601939.SH,2020-02-25,6.65,6.68,6.61,6.64,6.71,-0.07,-1.0432,889275.76,589708.388
601939.SH,2020-02-26,6.59,6.69,6.55,6.65,6.64,0.01,0.1506,838202.6,555858.617
601939.SH,2020-02-27,6.65,6.67,6.62,6.67,6.65,0.02,0.3008,725983.42,482165.486
601939.SH,2020-02-28,6.61,6.64,6.5,6.5,6.67,-0.17,-2.5487,1279463.82,839874.422
601939.SH,2020-03-02,6.51,6.61,6.51,6.59,6.5,0.09,1.3846,804392.13,528691.17
601939.SH,2020-03-03,6.63,6.67,6.59,6.6,6.59,0.01,0.1517,901535.24,597097.091
601939.SH,2020-03-04,6.6,6.63,6.57,6.6,6.6,0.0,0.0,879905.24,580431.846
601939.SH,2020-03-05,6.62,6.72,6.58,6.71,6.6,0.11,1.6667,1666223.27,1109477.278
601939.SH,2020-03-06,6.66,6.7,6.62,6.63,6.71,-0.08,-1.1923,835120.44,555393.215
601939.SH,2020-03-09,6.57,6.57,6.47,6.48,6.63,-0.15,-2.2624,1639687.78,1066905.787
601939.SH,2020-03-10,6.45,6.55,6.45,6.53,6.48,0.05,0.7716,1227944.71,799213.379
601939.SH,2020-03-11,6.54,6.59,6.51,6.52,6.53,-0.01,-0.1531,777637.52,508983.158
601939.SH,2020-03-12,6.49,6.55,6.45,6.54,6.52,0.02,0.3067,1020851.27,663980.723
601939.SH,2020-03-13,6.37,6.53,6.34,6.49,6.54,-0.05,-0.7645,1153688.59,739770.673
601939.SH,2020-03-16,6.49,6.54,6.38,6.42,6.49,-0.07,-1.0786,1386621.41,895892.272
601939.SH,2020-03-17,6.39,6.47,6.31,6.45,6.42,0.03,0.4673,1212003.43,776931.715
601939.SH,2020-03-18,6.44,6.49,6.38,6.39,6.45,-0.06,-0.9302,882964.23,568937.726
601939.SH,2020-03-19,6.35,6.39,6.16,6.21,6.39,-0.18,-2.8169,1563420.78,977664.636
601939.SH,2020-03-20,6.26,6.39,6.19,6.32,6.21,0.11,1.7713,1204483.61,757006.627
