code,date,sentiment,news_count,news_titles,sentiment_ma5,sentiment_ma10
000001,2025-02-05,-0.09065962255950422,1,深市主板本地股受政策利好刺激，集体拉升,-0.09065962255950422,-0.09065962255950422
000001,2025-02-06,-0.004698580592563895,2,2025-02-06 深市主板中小盘股表现活跃，赚钱效应凸显; 深市主板本地股受政策利好刺激，集体拉升,-0.047679101576034055,-0.047679101576034055
000001,2025-02-07,0.25621380408919125,2,深市主板高送转预期升温，相关个股受追捧; 深市主板老牌企业转型升级，业绩拐点显现,0.05361853364570771,0.05361853364570771
000001,2025-02-10,-0.15127452173175415,1,深市主板小盘股流动性改善，交投活跃度提升,0.002395269801342248,0.002395269801342248
000001,2025-02-11,0.9809745558285696,1,深市主板老牌企业转型升级，业绩拐点显现,0.19811112700678774,0.19811112700678774
000001,2025-02-12,0.24915988521117716,2,深市主板家族企业治理优化，市场认可度提升; 深市主板高送转预期升温，相关个股受追捧,0.266075028560924,0.20661925337418596
000001,2025-02-13,0.524064589723459,2,2025-02-13 深市主板中小盘股表现活跃，赚钱效应凸显; 深市主板家族企业治理优化，市场认可度提升,0.3718276626241286,0.25196858713836784
000001,2025-02-14,-0.15127452173175415,1,深市主板小盘股流动性改善，交投活跃度提升,0.2903299974599395,0.20156319852960258
000001,2025-02-17,0.4451574666345328,2,深市主板本地股受政策利好刺激，集体拉升; 深市主板老牌企业转型升级，业绩拐点显现,0.40961639513319686,0.22862922831903928
000001,2025-02-18,0.3728212474829644,2,粤港澳大湾区政策落地，深市主板相关个股受益; 深市主板小盘股流动性改善，交投活跃度提升,0.28798573346407585,0.2430484302354318
000001,2025-02-19,-0.004698580592563895,2,深市主板本地股受政策利好刺激，集体拉升; 2025-02-19 深市主板中小盘股表现活跃，赚钱效应凸显,0.23721404030332766,0.25164453443212587
000001,2025-02-20,0.3744092234929639,1,深市主板区域龙头获产业资本举牌，股权变更,0.20728296705722862,0.2895553148406786
000001,2025-02-21,-0.4685469476501871,1,深市主板高送转预期升温，相关个股受追捧,0.14382848187354202,0.21707923966674075
000001,2025-02-24,-0.09065962255950422,1,深市主板本地股受政策利好刺激，集体拉升,0.036665064034734615,0.22314072958396575
000001,2025-02-25,0.1523950334000732,2,深市主板老牌企业转型升级，业绩拐点显现; 深市主板壳资源股再度活跃，重组预期升温,-0.007420178781843622,0.1402827773411161
000001,2025-02-26,0.9699390963923269,1,深市主板细分龙头业绩爆发，股价创阶段新高,0.18750735661513454,0.21236069845923108
000001,2025-02-27,-0.15127452173175415,1,深市主板小盘股流动性改善，交投活跃度提升,0.08237060757019092,0.14482678731370976
000001,2025-02-28,0.9668667180725414,1,深市主板家族企业治理优化，市场认可度提升,0.3694533407147366,0.25664091129413935
