date,code,open,high,low,close,volume,amount
2015-01-01,300034,17.9703921159829,18.058013780414196,17.87443930196457,17.981807449905602,5742838,124084018.24810565
2015-01-02,300034,17.770334607701376,18.458377002561164,17.88379219040274,17.931931640020323,7417488,145654096.68985477
2015-01-05,300034,17.942798902722682,18.046223232667426,17.768161706922236,17.953903999732344,5731837,143885759.40679982
2015-01-06,300034,17.88574156835556,17.975345096058696,17.641234503719428,17.756696275531382,7802236,151288282.7823573
2015-01-07,300034,17.57411808878064,17.78352177927589,17.457709230934505,17.51575311776055,1539313,34862074.041809894
2015-01-08,300034,17.324620020030977,17.667468461904708,16.96603183910358,17.439216445126597,2294357,50018037.7881626
2015-01-09,300034,17.603754787870848,17.591703472369183,17.28007360755675,17.470636890802304,6591797,167800163.159041
2015-01-12,300034,17.404134122076346,17.64344535166686,17.04113002665772,17.485280259913374,9699681,225929510.58405817
2015-01-13,300034,17.448078587213754,17.886173767219027,17.299477245365072,17.49776966153374,5005639,122669649.08529674
2015-01-14,300034,17.2753977125428,17.452089002816663,17.170744193608467,17.42531685030677,1591030,29538180.969340768
2015-01-15,300034,17.38962645259495,17.570188084570972,16.984924553037487,17.449590696270985,8816218,187411548.14690757
2015-01-16,300034,17.501429055188904,17.81272356393948,17.464297896604208,17.519021733254746,8137978,175942504.50970802
2015-01-19,300034,17.423727975097112,17.569527044081664,16.98472656714977,17.441777688181066,3890984,67905403.64816181
2015-01-20,300034,17.35604729633112,17.620070010036258,17.127196840993534,17.267415281408187,1548647,29385494.25665484
2015-01-21,300034,16.952245021955182,17.389466351972075,16.693431598009216,16.978777602900152,4208312,96423743.51408057
2015-01-22,300034,16.96100619474939,17.1586204069819,16.725570588400405,17.08319006790152,1811895,42593971.36634414
2015-01-23,300034,17.160004721066688,17.259696461323806,16.721572807593333,17.049376314497408,4713907,118894713.92280136
2015-01-26,300034,17.19769747925882,17.564083455732863,16.64588304045735,17.11852271034152,1330967,23986851.163994137
2015-01-27,300034,17.121323239877043,17.315931976524716,17.049650131723496,17.059478085442993,5742942,99071598.665661
2015-01-28,300034,17.077953626720568,17.570130230833602,16.8584335228595,17.11620077450918,3910727,76645649.90582788
2015-01-29,300034,16.778536910181796,17.130409827249636,16.720667620832746,16.857612786769725,9158580,219739626.98495552
