date,code,open,high,low,close,volume,amount
2015-01-01,000130,29.47446786689772,29.421589200712557,28.89537271550825,29.256116386362095,4112843,122235578.49888408
2015-01-02,000130,29.031099308452298,29.504039271130864,28.49552352732373,29.20659451072354,2233105,76494068.16136386
2015-01-05,000130,29.841988279866595,30.24970934381643,29.066913554845215,29.92645201259552,5802496,235297529.1918288
2015-01-06,000130,29.88820903935838,30.700667063430696,29.52564292515135,29.938792838239205,1052823,45022081.80982651
2015-01-07,000130,30.490093090966717,30.413333654411794,29.61847756985132,30.30324939587059,4235535,159767300.8099488
2015-01-08,000130,30.395791713017967,30.409645748273004,29.68675922503836,30.169064337774763,9072619,385291745.16712916
2015-01-09,000130,29.687394974669992,30.317482600425315,28.78529816643352,29.55119990937154,3178769,95863975.21257097
2015-01-12,000130,29.050276025328845,29.77594875641959,29.306035341854525,29.319827233115966,2730350,94211818.19172084
2015-01-13,000130,29.54274507595544,30.11671796006555,28.81649345157117,29.26721232900419,9766996,298269881.6651632
2015-01-14,000130,29.215543511047162,29.76346563151133,29.390403233976187,29.437093186186527,1690262,56679318.880376495
2015-01-15,000130,29.674885285519913,29.86447310517352,29.141821341185953,29.477509258328173,7920950,320169623.68092245
2015-01-16,000130,28.59557014999911,29.047934346947713,28.398605837783624,28.758675854545785,3247545,115222752.4476401
2015-01-19,000130,28.59736584375618,29.38510160926241,28.19286658492999,28.75282537765274,8969785,357766896.1448096
2015-01-20,000130,28.712825653698506,29.13805533181141,28.494514887727114,28.89893587803275,6078036,235072558.71989375
2015-01-21,000130,28.65988605894317,29.163299831634944,27.861966115790775,28.593755769245114,1371657,46221241.06149716
2015-01-22,000130,28.452403362097446,28.997340947972,27.88893014164908,28.32908699146448,2998902,120561293.5989853
2015-01-23,000130,28.53999338225386,29.608186016020703,28.21536468895148,28.812614194602094,1040072,31676266.959509414
2015-01-26,000130,29.225319742174136,29.77631208861992,28.904756111934365,29.406662048543513,1675008,56148709.789937295
2015-01-27,000130,29.26936013819657,29.94428326845002,28.6551347923145,29.42232163324712,9919945,408828864.2857825
2015-01-28,000130,29.813985158804755,29.706205005322442,29.030402802794026,29.68548520029003,4676170,165866392.0280318
2015-01-29,000130,29.38376563506995,29.533169551392675,28.95048361002734,29.107387639147213,3565818,114089084.94685331
2015-01-30,000130,29.399114356057055,30.271554713952394,28.8525183746707,29.579784927117622,8680603,327579505.0211734
2015-02-02,000130,29.305185878290352,29.822096794500254,29.156906365688997,29.352327142935792,2935517,90155142.70361054
2015-02-03,000130,29.35667795092952,30.309663627100033,28.7172641464722,29.60524995527575,9041879,295637331.9659765
2015-02-04,000130,29.346275319657522,29.900505711162992,28.82124357681478,29.188131309090085,6550486,285469925.4077447
2015-02-05,000130,28.958584039672335,29.77869919646408,28.92449561600185,29.077815416174616,8777224,285581748.4983024
2015-02-06,000130,29.205761536552426,29.82082150520011,28.893579071932344,29.073699676047816,9381378,377411197.40554786
2015-02-09,000130,29.833710214732655,30.150078383646928,28.85340221236913,29.70806289858868,3913796,167393736.0168211
2015-02-10,000130,29.233374213211516,29.609476598037407,28.35786939704001,29.11629188941647,2709718,106100381.72706772
2015-02-11,000130,29.039810347603503,29.75307584518748,28.417811753184328,29.11171418125006,2176934,92354312.08090399
2015-02-12,000130,28.81441196679342,29.633711048865187,28.878528720590598,29.08758780513417,1689680,53342305.507608905
2015-02-13,000130,28.28030567060733,28.675896758347267,27.790838460278664,28.539909978877965,9125851,379053852.7248588
2015-02-16,000130,28.914269714099497,29.032255158059947,28.668313344948498,28.98330863713042,5536113,196606362.64892164
2015-02-17,000130,28.972506678388598,29.522317661727588,28.54880874639779,28.855852208404514,5705066,166166444.10049427
2015-02-18,000130,28.81595563645022,29.017163832188675,28.693731726249112,28.807055890874132,9031213,331171705.17491496
